iter	Passed	Remaining
0	4	4340
1	7	3787
2	10	3629
3	13	3475
4	17	3411
5	19	3311
6	23	3297
7	26	3295
8	29	3239
9	32	3197
10	35	3189
11	38	3201
12	42	3195
13	45	3195
14	48	3183
15	51	3173
16	54	3162
17	57	3161
18	60	3137
19	63	3124
20	66	3100
21	69	3102
22	72	3091
23	76	3099
24	79	3105
25	83	3116
26	86	3126
27	90	3127
28	93	3125
29	96	3120
30	99	3108
31	102	3107
32	105	3095
33	108	3087
34	111	3074
35	114	3064
36	117	3052
37	120	3047
38	123	3041
39	126	3037
40	129	3033
41	132	3026
42	135	3023
43	138	3014
44	141	3008
45	145	3014
46	148	3012
47	151	3002
48	154	3002
49	157	2993
50	160	2987
51	163	2981
52	166	2978
53	169	2970
54	172	2964
55	175	2960
56	179	2962
57	182	2957
58	185	2955
59	188	2952
60	191	2948
61	194	2945
62	197	2943
63	201	2941
64	204	2935
65	207	2931
66	210	2930
67	214	2933
68	217	2928
69	220	2923
70	223	2921
71	226	2921
72	229	2920
73	232	2915
74	236	2915
75	239	2909
76	242	2902
77	245	2904
78	248	2899
79	252	2900
80	255	2897
81	258	2890
82	261	2883
83	264	2879
84	267	2875
85	270	2871
86	273	2865
87	275	2859
88	279	2859
89	282	2854
90	285	2847
91	288	2842
92	291	2838
93	293	2833
94	297	2831
95	300	2827
96	303	2824
97	306	2824
98	310	2821
99	313	2817
100	316	2812
101	319	2811
102	322	2807
103	326	2808
104	329	2804
105	332	2802
106	335	2797
107	338	2792
108	340	2787
109	343	2782
110	346	2777
111	349	2774
112	353	2772
113	355	2766
114	358	2761
115	361	2756
116	364	2751
117	367	2749
118	371	2746
119	373	2742
120	376	2738
121	379	2732
122	382	2730
123	386	2727
124	388	2722
125	391	2717
126	394	2714
127	398	2712
128	400	2707
129	404	2705
130	406	2696
131	409	2692
132	412	2687
133	415	2684
134	418	2679
135	421	2675
136	424	2673
137	427	2669
138	430	2665
139	433	2660
140	436	2658
141	439	2653
142	442	2653
143	445	2649
144	449	2647
145	452	2646
146	455	2642
147	458	2637
148	460	2631
149	463	2628
150	466	2625
151	469	2620
152	472	2614
153	475	2609
154	477	2604
155	480	2598
156	482	2592
157	484	2584
158	487	2580
159	490	2575
160	493	2571
161	496	2566
162	498	2561
163	501	2558
164	504	2554
165	507	2550
166	510	2545
167	513	2540
168	515	2536
169	518	2531
170	521	2527
171	524	2523
172	526	2518
173	530	2516
174	533	2512
175	535	2507
176	538	2503
177	541	2500
178	544	2496
179	547	2492
180	549	2488
181	552	2484
182	555	2480
183	558	2475
184	561	2471
185	563	2468
186	566	2464
187	569	2460
188	573	2460
189	576	2456
190	578	2452
191	581	2449
192	584	2444
193	587	2440
194	590	2436
195	593	2432
196	595	2429
197	598	2425
198	601	2421
199	604	2417
200	607	2413
201	610	2410
202	613	2406
203	615	2402
204	618	2398
205	621	2394
206	624	2390
207	626	2386
208	629	2382
209	632	2378
210	635	2374
211	637	2371
212	640	2367
213	643	2363
214	646	2359
215	648	2355
216	651	2351
217	654	2347
218	657	2344
219	660	2340
220	663	2338
221	666	2335
222	669	2331
223	671	2327
224	675	2325
225	677	2321
226	680	2317
227	683	2314
228	686	2310
229	689	2306
230	691	2302
231	694	2298
232	697	2294
233	700	2291
234	703	2288
235	705	2285
236	708	2281
237	711	2277
238	714	2274
239	717	2271
240	719	2267
241	722	2263
242	725	2259
243	728	2256
244	730	2252
245	733	2248
246	736	2244
247	739	2241
248	742	2238
249	745	2235
250	747	2231
251	750	2228
252	753	2224
253	756	2220
254	758	2217
255	761	2213
256	764	2209
257	767	2206
258	769	2202
259	772	2199
260	775	2195
261	778	2192
262	781	2188
263	783	2185
264	786	2182
265	789	2178
266	792	2175
267	795	2173
268	799	2171
269	802	2170
270	806	2168
271	809	2167
272	813	2166
273	816	2164
274	820	2164
275	824	2161
276	827	2159
277	830	2157
278	834	2156
279	837	2154
280	841	2152
281	844	2150
282	848	2148
283	851	2146
284	854	2144
285	858	2144
286	862	2142
287	865	2140
288	869	2139
289	873	2138
290	877	2138
291	881	2136
292	885	2135
293	888	2134
294	892	2132
295	895	2130
296	900	2130
297	903	2129
298	907	2127
299	910	2125
300	914	2124
301	918	2121
302	921	2120
303	925	2118
304	929	2117
305	932	2115
306	936	2114
307	940	2112
308	943	2110
309	947	2108
310	951	2107
311	954	2105
312	958	2103
313	962	2102
314	965	2100
315	969	2098
316	973	2096
317	976	2094
318	980	2094
319	984	2092
320	988	2090
321	992	2089
322	995	2087
323	999	2084
324	1002	2082
325	1006	2080
326	1010	2078
327	1013	2076
328	1017	2074
329	1020	2072
330	1024	2070
331	1028	2068
332	1031	2066
333	1035	2063
334	1038	2061
335	1042	2059
336	1045	2057
337	1049	2055
338	1053	2053
339	1057	2052
340	1060	2049
341	1064	2047
342	1067	2045
343	1071	2042
344	1074	2040
345	1078	2037
346	1081	2035
347	1085	2032
348	1087	2029
349	1091	2027
350	1094	2023
351	1097	2020
352	1100	2017
353	1103	2013
354	1106	2011
355	1110	2008
356	1113	2005
357	1116	2001
358	1119	1998
359	1122	1995
360	1125	1992
361	1128	1988
362	1131	1985
363	1134	1982
364	1137	1979
365	1140	1975
366	1143	1972
367	1146	1969
368	1149	1966
369	1152	1962
370	1155	1959
371	1158	1956
372	1162	1953
373	1164	1949
374	1167	1946
375	1170	1943
376	1173	1939
377	1177	1937
378	1180	1934
379	1183	1930
380	1186	1927
381	1189	1924
382	1192	1920
383	1195	1917
384	1198	1914
385	1201	1911
386	1205	1909
387	1208	1906
388	1211	1902
389	1214	1899
390	1217	1896
391	1220	1892
392	1223	1889
393	1226	1886
394	1229	1883
395	1233	1880
396	1235	1877
397	1238	1874
398	1242	1871
399	1245	1867
400	1248	1864
401	1250	1860
402	1253	1857
403	1257	1854
404	1260	1851
405	1263	1848
406	1266	1845
407	1269	1842
408	1272	1839
409	1276	1836
410	1279	1833
411	1282	1830
412	1285	1827
413	1288	1824
414	1292	1821
415	1295	1818
416	1298	1815
417	1301	1811
418	1304	1808
419	1307	1805
420	1310	1801
421	1313	1798
422	1316	1795
423	1319	1792
424	1322	1789
425	1325	1785
426	1328	1782
427	1331	1779
428	1334	1775
429	1337	1772
430	1340	1769
431	1343	1766
432	1346	1763
433	1349	1760
434	1352	1756
435	1356	1754
436	1358	1750
437	1361	1747
438	1364	1744
439	1367	1740
440	1370	1737
441	1373	1734
442	1376	1731
443	1379	1727
444	1382	1724
445	1385	1721
446	1388	1718
447	1392	1715
448	1395	1712
449	1398	1709
450	1401	1706
451	1404	1703
452	1407	1700
453	1411	1698
454	1414	1694
455	1418	1691
456	1421	1688
457	1423	1684
458	1446	1705
459	1449	1701
460	1453	1698
461	1456	1695
462	1458	1692
463	1461	1688
464	1464	1685
465	1467	1681
466	1470	1678
467	1473	1674
468	1476	1671
469	1479	1667
470	1481	1664
471	1485	1661
472	1487	1657
473	1490	1654
474	1493	1650
475	1496	1647
476	1499	1643
477	1502	1640
478	1505	1637
479	1508	1633
480	1510	1630
481	1513	1626
482	1516	1623
483	1519	1619
484	1522	1616
485	1524	1612
486	1527	1609
487	1530	1605
488	1533	1602
489	1536	1598
490	1538	1595
491	1541	1591
492	1544	1588
493	1546	1584
494	1549	1581
495	1552	1577
496	1555	1574
497	1558	1570
498	1561	1567
499	1563	1563
500	1566	1560
501	1569	1557
502	1573	1554
503	1576	1551
504	1579	1548
505	1582	1545
506	1586	1542
507	1589	1539
508	1592	1536
509	1595	1533
510	1599	1530
511	1602	1526
512	1605	1523
513	1608	1520
514	1611	1517
515	1614	1514
516	1617	1511
517	1621	1508
518	1624	1505
519	1627	1502
520	1630	1499
521	1634	1496
522	1637	1493
523	1640	1490
524	1643	1486
525	1646	1483
526	1649	1480
527	1653	1477
528	1656	1474
529	1659	1471
530	1662	1468
531	1666	1465
532	1669	1462
533	1672	1459
534	1675	1456
535	1678	1453
536	1682	1450
537	1685	1447
538	1688	1444
539	1692	1441
540	1694	1437
541	1697	1434
542	1700	1431
543	1704	1428
544	1707	1425
545	1710	1422
546	1713	1418
547	1716	1416
548	1719	1412
549	1723	1409
550	1726	1406
551	1729	1403
552	1733	1400
553	1736	1397
554	1739	1394
555	1743	1392
556	1746	1389
557	1749	1386
558	1752	1382
559	1756	1379
560	1759	1376
561	1762	1373
562	1765	1370
563	1768	1367
564	1772	1364
565	1775	1361
566	1778	1358
567	1781	1355
568	1784	1351
569	1787	1348
570	1791	1345
571	1794	1342
572	1797	1339
573	1800	1336
574	1803	1333
575	1806	1330
576	1810	1327
577	1813	1323
578	1816	1320
579	1819	1317
580	1823	1314
581	1826	1311
582	1829	1308
583	1833	1305
584	1836	1302
585	1839	1299
586	1842	1296
587	1845	1292
588	1848	1289
589	1851	1286
590	1854	1283
591	1857	1280
592	1861	1277
593	1864	1274
594	1867	1271
595	1870	1268
596	1873	1264
597	1877	1261
598	1880	1258
599	1883	1255
600	1886	1252
601	1889	1249
602	1892	1245
603	1895	1242
604	1898	1239
605	1902	1236
606	1905	1233
607	1908	1230
608	1911	1226
609	1914	1223
610	1917	1220
611	1920	1217
612	1923	1214
613	1926	1211
614	1930	1208
615	1933	1205
616	1936	1201
617	1939	1198
618	1942	1195
619	1945	1192
620	1948	1189
621	1952	1186
622	1955	1183
623	1958	1180
624	1961	1177
625	1964	1173
626	1967	1170
627	1971	1167
628	1974	1164
629	1977	1161
630	1980	1158
631	1984	1155
632	1987	1152
633	1990	1149
634	1993	1145
635	1996	1142
636	1999	1139
637	2002	1136
638	2006	1133
639	2009	1130
640	2012	1127
641	2015	1123
642	2018	1120
643	2021	1117
644	2024	1114
645	2028	1111
646	2031	1108
647	2034	1105
648	2037	1101
649	2040	1098
650	2043	1095
651	2046	1092
652	2050	1089
653	2053	1086
654	2056	1083
655	2059	1080
656	2063	1077
657	2066	1073
658	2069	1070
659	2072	1067
660	2075	1064
661	2078	1061
662	2081	1058
663	2084	1054
664	2088	1051
665	2091	1048
666	2094	1045
667	2097	1042
668	2100	1039
669	2104	1036
670	2107	1033
671	2110	1030
672	2113	1027
673	2116	1023
674	2119	1020
675	2122	1017
676	2126	1014
677	2129	1011
678	2132	1008
679	2135	1004
680	2138	1001
681	2141	998
682	2144	995
683	2147	992
684	2150	988
685	2153	985
686	2156	982
687	2159	979
688	2162	976
689	2165	973
690	2169	970
691	2172	966
692	2175	963
693	2178	960
694	2181	957
695	2184	954
696	2188	951
697	2191	948
698	2194	944
699	2197	941
700	2200	938
701	2203	935
702	2206	932
703	2209	929
704	2212	925
705	2216	922
706	2219	919
707	2222	916
708	2225	913
709	2228	910
710	2231	906
711	2234	903
712	2237	900
713	2240	897
714	2243	894
715	2246	891
716	2249	887
717	2252	884
718	2255	881
719	2259	878
720	2262	875
721	2265	872
722	2268	869
723	2271	865
724	2274	862
725	2277	859
726	2281	856
727	2284	853
728	2286	850
729	2289	846
730	2293	843
731	2296	840
732	2299	837
733	2302	834
734	2305	831
735	2308	828
736	2311	824
737	2314	821
738	2317	818
739	2320	815
740	2324	812
741	2326	809
742	2329	805
743	2332	802
744	2336	799
745	2338	796
746	2341	793
747	2345	790
748	2347	786
749	2350	783
750	2353	780
751	2357	777
752	2360	774
753	2363	771
754	2366	767
755	2369	764
756	2372	761
757	2375	758
758	2378	755
759	2381	752
760	2384	748
761	2388	745
762	2391	742
763	2394	739
764	2397	736
765	2400	733
766	2403	730
767	2407	727
768	2410	724
769	2413	721
770	2417	717
771	2420	714
772	2423	711
773	2426	708
774	2429	705
775	2432	702
776	2435	699
777	2438	695
778	2441	692
779	2444	689
780	2447	686
781	2450	683
782	2453	680
783	2456	676
784	2459	673
785	2463	670
786	2466	667
787	2469	664
788	2472	661
789	2475	658
790	2478	654
791	2481	651
792	2484	648
793	2487	645
794	2490	642
795	2493	639
796	2496	635
797	2499	632
798	2502	629
799	2505	626
800	2508	623
801	2511	620
802	2514	616
803	2518	613
804	2521	610
805	2524	607
806	2527	604
807	2530	601
808	2534	598
809	2537	595
810	2540	592
811	2543	588
812	2546	585
813	2549	582
814	2552	579
815	2556	576
816	2559	573
817	2562	570
818	2565	566
819	2568	563
820	2572	560
821	2575	557
822	2578	554
823	2581	551
824	2584	548
825	2587	545
826	2590	541
827	2594	538
828	2597	535
829	2601	532
830	2604	529
831	2607	526
832	2610	523
833	2614	520
834	2617	517
835	2620	514
836	2623	510
837	2626	507
838	2629	504
839	2632	501
840	2635	498
841	2638	495
842	2641	491
843	2644	488
844	2647	485
845	2651	482
846	2653	479
847	2657	476
848	2660	473
849	2663	469
850	2666	466
851	2669	463
852	2672	460
853	2675	457
854	2678	454
855	2681	451
856	2684	447
857	2687	444
858	2690	441
859	2693	438
860	2696	435
861	2699	432
862	2702	429
863	2706	425
864	2708	422
865	2711	419
866	2714	416
867	2718	413
868	2720	410
869	2723	407
870	2727	403
871	2730	400
872	2733	397
873	2736	394
874	2739	391
875	2742	388
876	2746	385
877	2749	381
878	2752	378
879	2755	375
880	2758	372
881	2762	369
882	2765	366
883	2768	363
884	2771	360
885	2775	357
886	2778	353
887	2781	350
888	2784	347
889	2787	344
890	2791	341
891	2794	338
892	2797	335
893	2801	332
894	2804	328
895	2807	325
896	2810	322
897	2813	319
898	2818	316
899	2822	313
900	2825	310
901	2828	307
902	2832	304
903	2834	301
904	2838	297
905	2841	294
906	2844	291
907	2847	288
908	2851	285
909	2854	282
910	2857	279
911	2861	276
912	2864	272
913	2867	269
914	2870	266
915	2873	263
916	2877	260
917	2881	257
918	2904	255
919	2907	252
920	2909	249
921	2912	246
922	2925	244
923	2928	240
924	2931	237
925	2934	234
926	2936	231
927	2939	228
928	2942	224
929	2945	221
930	2948	218
931	2950	215
932	2954	212
933	2956	208
934	2959	205
935	2962	202
936	2965	199
937	2967	196
938	2970	192
939	2973	189
940	2976	186
941	2979	183
942	2982	180
943	2985	177
944	2987	173
945	2990	170
946	2993	167
947	2996	164
948	2999	161
949	3002	158
950	3005	154
951	3008	151
